thumb_tip_x,thumb_tip_y,thumb_joint1_x,thumb_joint1_y,thumb_joint2_x,thumb_joint2_y,thumb_joint3_x,thumb_joint3_y,index_tip_x,index_tip_y,index_joint1_x,index_joint1_y,index_joint2_x,index_joint2_y,index_joint3_x,index_joint3_y,middle_tip_x,middle_tip_y,middle_joint1_x,middle_joint1_y,middle_joint2_x,middle_joint2_y,middle_joint3_x,middle_joint3_y,ring_tip_x,ring_tip_y,ring_joint1_x,ring_joint1_y,ring_joint2_x,ring_joint2_y,ring_joint3_x,ring_joint3_y,pinky_tip_x,pinky_tip_y,pinky_joint1_x,pinky_joint1_y,pinky_joint2_x,pinky_joint2_y,pinky_joint3_x,pinky_joint3_y,gesture
0.0,0.0,357.0,149.0,416.0,177.5,0.0,0.0,0.0,0.0,608.0,8.0,622.0,51.0,233.0,195.0,163.75,259.5,296.5,255.0,251.0,257.0,211.0,259.0,170.75,195.5,260.5,298.0,300.5,299.0,223.0,302.5,325.5,125.0,319.5,339.5,292.0,346.5,258.0,355.0,HELLO
0.0,0.0,357.5,141.0,418.0,170.0,0.0,0.0,0.0,0.0,623.0,47.0,232.0,187.0,270.0,191.5,0.0,0.0,295.0,247.5,249.0,249.5,209.0,251.0,168.25,186.0,258.5,291.5,299.0,293.0,221.0,295.5,325.5,117.0,318.5,333.5,290.5,340.5,255.5,348.5,HELLO
0.0,0.0,359.0,135.0,420.0,165.0,0.0,0.0,0.0,0.0,624.0,46.0,232.0,179.0,270.0,184.0,160.25,243.75,295.0,241.5,249.0,243.0,208.5,243.5,168.75,178.25,258.5,285.0,298.5,286.5,220.5,288.5,326.75,110.5,317.0,327.5,290.0,334.0,254.5,341.0,HELLO
0.0,0.0,359.0,135.0,422.0,166.0,0.0,0.0,0.0,0.0,624.0,46.0,232.0,179.0,271.0,184.0,160.75,244.25,296.5,241.5,249.5,243.0,209.0,244.5,169.5,178.5,259.0,285.5,299.0,287.0,221.0,289.0,328.0,110.5,317.5,328.0,290.0,335.0,254.5,342.0,HELLO
0.0,0.0,363.0,134.5,425.0,165.0,0.0,0.0,0.0,0.0,626.0,45.0,238.0,177.0,276.0,182.0,166.75,240.25,300.5,239.0,254.5,240.5,214.0,241.0,175.5,175.0,263.0,282.0,302.5,284.5,225.5,284.5,332.25,109.75,320.5,325.0,294.0,331.0,258.5,337.5,HELLO
0.0,0.0,367.0,136.0,429.0,163.0,425.0,172.5,0.0,0.0,627.0,37.5,633.5,85.0,240.0,177.5,168.75,241.75,302.5,241.0,256.5,241.5,216.5,243.0,177.5,176.0,265.0,283.5,305.0,286.5,227.5,286.5,334.25,111.75,323.0,326.5,296.0,333.0,260.5,339.5,HELLO
0.0,0.0,367.0,135.0,428.0,166.0,0.0,0.0,0.0,0.0,626.0,33.0,636.0,82.5,242.0,175.0,0.0,0.0,304.5,239.0,258.5,239.5,217.5,239.5,180.0,171.0,266.5,283.5,305.5,285.0,229.0,286.5,336.0,111.25,323.5,326.0,296.0,331.5,262.0,337.5,HELLO
0.0,0.0,368.0,131.0,429.0,162.0,0.0,0.0,0.0,0.0,627.0,35.0,634.0,77.0,242.0,169.0,170.0,234.0,304.5,235.5,257.0,235.5,217.5,235.5,180.25,165.5,266.5,279.0,305.5,281.5,229.0,282.0,336.5,107.0,323.0,322.0,296.0,328.0,261.5,333.5,HELLO
218.0,336.0,369.0,131.0,431.0,161.5,0.0,0.0,0.0,0.0,627.0,36.0,244.0,169.0,281.0,174.5,171.5,232.5,305.0,235.0,259.0,235.0,219.0,235.0,181.75,164.5,267.0,278.0,306.5,280.5,229.5,280.5,338.0,106.25,324.5,321.5,297.5,327.0,262.0,333.0,HELLO
0.0,0.0,369.0,131.0,430.0,169.0,0.0,0.0,0.0,0.0,628.0,36.0,243.0,169.5,281.0,176.0,170.5,234.0,258.5,235.5,218.0,235.5,305.0,236.5,181.25,166.5,267.0,279.5,306.5,282.0,229.0,282.5,338.0,106.5,324.5,322.5,296.5,328.5,262.0,335.0,HELLO
0.0,0.0,372.0,127.5,434.5,156.0,432.0,165.0,0.0,0.0,629.0,36.0,247.0,160.0,284.0,168.0,0.0,0.0,219.5,228.0,260.5,229.5,306.5,231.0,184.75,153.5,268.0,277.5,307.0,278.5,229.5,281.0,341.0,103.0,325.0,319.5,298.0,324.5,262.5,330.0,HELLO
0.0,0.0,373.0,127.0,436.0,154.0,0.0,0.0,0.0,0.0,628.0,39.0,248.0,159.0,285.0,167.5,174.25,223.25,221.5,227.0,261.0,227.5,307.0,229.0,187.0,152.5,268.5,275.5,308.0,277.0,231.0,278.5,341.75,102.5,325.5,317.5,298.0,322.5,264.0,327.5,HELLO
0.0,0.0,371.0,133.0,433.0,164.0,0.0,0.0,0.0,0.0,628.0,39.0,245.0,165.0,282.0,173.0,171.25,231.75,259.0,234.0,219.0,234.0,305.0,235.0,183.25,158.5,266.5,281.5,306.0,283.0,229.0,285.0,339.5,107.25,323.5,323.5,296.0,328.5,262.0,334.5,HELLO
0.0,0.0,368.0,141.0,431.0,171.0,0.0,0.0,0.0,0.0,628.0,39.0,245.0,175.0,280.5,182.0,172.0,240.75,304.5,243.0,258.5,243.0,219.0,243.0,183.75,168.75,266.0,289.0,305.0,290.0,229.0,292.5,337.25,115.75,323.0,329.5,296.0,335.0,262.0,341.0,HELLO
0.0,0.0,369.0,141.0,432.0,171.0,0.0,0.0,0.0,0.0,628.0,39.0,245.0,175.0,282.0,183.5,173.0,242.25,259.0,243.5,219.5,243.5,304.5,244.5,184.5,170.5,266.5,290.0,305.5,290.5,229.5,294.0,337.75,116.75,324.0,330.5,297.5,335.5,262.0,341.5,HELLO
0.0,0.0,371.0,141.0,431.5,172.0,0.0,0.0,0.0,0.0,628.0,39.0,247.0,175.0,284.0,182.0,175.0,241.25,306.5,243.0,261.0,243.0,221.0,243.0,186.5,169.5,268.0,289.0,307.0,290.5,231.0,292.5,340.0,117.0,325.0,330.0,298.0,335.0,264.0,341.0,HELLO
0.0,0.0,371.0,145.0,431.0,171.5,431.0,182.0,0.0,0.0,628.0,44.5,247.0,179.0,284.0,186.0,175.0,245.75,306.5,247.0,261.0,247.0,221.5,247.0,186.0,174.25,268.5,293.0,308.0,294.0,231.5,296.0,339.75,119.75,326.0,333.5,298.5,339.0,264.0,345.0,HELLO
0.0,0.0,371.0,146.0,432.0,177.0,0.0,0.0,0.0,0.0,630.0,43.0,247.0,181.0,284.0,188.0,0.0,0.0,306.5,248.5,261.0,248.5,222.5,248.5,187.0,175.75,268.5,293.0,308.0,294.5,232.0,296.5,339.75,121.5,325.5,334.0,298.0,339.0,264.0,345.0,HELLO
0.0,0.0,369.0,144.0,434.0,175.0,0.0,0.0,0.0,0.0,632.0,39.5,245.0,179.0,282.0,186.0,171.75,246.75,304.5,247.0,258.5,248.0,219.0,248.5,183.25,175.0,266.5,293.0,305.0,294.0,229.0,296.5,337.75,119.5,323.5,333.5,296.0,339.0,262.0,345.0,HELLO
0.0,0.0,367.0,143.0,429.0,173.0,0.0,0.0,0.0,0.0,630.0,45.0,242.0,179.0,280.0,186.0,169.25,246.75,302.5,247.0,256.5,247.5,217.0,247.5,181.25,174.75,264.5,293.0,304.0,294.0,227.0,296.5,335.75,118.5,322.0,333.5,294.5,339.0,260.0,345.0,HELLO
216.0,348.0,368.0,142.0,430.0,174.0,0.0,0.0,0.0,0.0,631.0,45.0,243.0,178.0,280.0,185.5,169.25,246.25,302.5,246.5,257.0,247.0,217.0,247.0,181.0,173.25,264.5,291.5,304.0,293.0,227.0,295.5,336.75,117.5,322.5,333.0,296.0,337.5,260.0,345.0,HELLO
